id,decision,handout_entry,handout_section,others_page,others_quote,others_quote_check,topic,book_chapter,book_chapter_title,book_printed_page,book_pdf_file,book_pdf_page,fits_after,book_evidence,new_contribution,reason,central_review
PA-14,exclude,,,40,Praziquantel is the drug of choice ... in a dose of 10mg/Kg as a single oral dose. 2. Yomesan in a single oral dose of 2 gm on empty stomach.,verbatim on page,Taenia treatment doses,9,Parasitic GI Diseases,128,first-half,131,Taenia saginata – Treatment,Praziquantel is the drug of choice ... in a dose of 10mg/Kg as a single oral dose. 2. Yomesan in a single oral dose of 2 gm on empty stomach.,None — already in book,Duplicate; identical doses — no discrepancy,confirmed
PA-15,exclude,,,40,4. Refrigeration of meat at -10°C for 5 days.,verbatim on page,Taenia saginata – control,9,Parasitic GI Diseases,128,first-half,131,Taenia saginata – Control,4. Refrigeration of meat at -10°C for 5 days. 5. Thorough cooking of beef.,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-16,exclude,,,40,"When man ingests eggs of T.solium, the larval stage (cysticercus cellulosae) develops in the extraintestinal tissues ... cysticercosis.",verbatim on page,"Taenia solium – differences, cysticercosis",9,Parasitic GI Diseases,129,first-half,132,Taenia solium – Pathogenesis and clinical picture,"When man ingests eggs of T.solium, the larval stage (cysticercus cellulosae) develops in the extraintestinal tissues leading to ... cysticercosis.",None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-17,exclude,,,41,give a saline purge 1-2 hours later to avoid cysticercosis ... Quinacrine hydrochloride (atebrine) ... Giving antiemetic before treatment,verbatim on page,Taenia solium – diagnosis and treatment,9,Parasitic GI Diseases,129,first-half,132,Taenia solium – Treatment,It is recommended to give a saline purge 1-2 hours later ... Quinacrine hydrochloride (atebrine) ... 3. Giving antiemetic before treatment to avoid vomiting.,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-18,exclude,,,42,"Adults do not attach to intestinal wall, thus they may go to ectopic places.",verbatim on page,"Ascaris – distribution, infection, pathogenesis",9,Parasitic GI Diseases,132,first-half,135,Ascaris lumbricoides,"2. Adults do not attach to intestinal wall, thus they may go to ectopic places.",None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-19,exclude,,,42,"There is intense local inflammatory reaction around the larvae leading to pneumonitis manifested by fever, cough, dyspnea and eosinophilia.",verbatim on page,"Ascaris – clinical picture (larval migration, intestinal)",9,Parasitic GI Diseases,132,first-half,135,Ascaris – Clinical picture,"There is intense local inflammatory reaction around the larvae leading to pneumonitis manifested by fever, cough, dyspnea and eosinophilia.",None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-20,exclude,,,43,Bile ducts causing obstructive jaundice ... Ampulla of vater leading acute haemorrhagic pancreatitis ... Very rarely to the trachea leading to suffocation.,verbatim on page,Ascaris – traumatic/ectopic and toxic complications,9,Parasitic GI Diseases,133,first-half,136,Ascaris – Complications,Bile ducts causing obstructive jaundice. ... Ampulla of vater leading acute haemorrhagic pancreatitis. ... Very rarely to the trachea leading to suffocation.,None — already in book,Duplicate in Ch9 p.133; Ch35 p.390 also lists Ascaris as a cause of obstructive jaundice; Ch12 p.154 lists worms as a cause of appendicitis,confirmed
PA-21,exclude,,,43,Mebendazole or flubendazole: 100 mg twice per day for 3 days.,verbatim on page,"Ascaris – diagnosis, treatment, prevention",9,Parasitic GI Diseases,133,first-half,136,Ascaris – Treatment,Mebendazole or flubendazole: 100 mg twice per day for 3 days.,None — already in book,Duplicate; identical dose — no discrepancy,confirmed
PA-22,exclude,,,44,"Habitat: Large intestine mainly caecum, colon, rectum and appendix ... Air-borne infection through inhalation of eggs in dust particles.",verbatim on page,"Enterobius – distribution, habitat, mode of infection",9,Parasitic GI Diseases,134,first-half,137,Enterobius vermicularis,"Large intestine mainly caecum, colon, rectum and appendix. ... 2- Air-borne infection through inhalation of eggs in dust particles.",None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-23,exclude,,,44,"Irritation, itching and scratching of the peri-anal skin (pruritis ani) ... all the family should be examined ... pelvic peritonitis.",verbatim on page,"Enterobius – pathogenesis (pruritus ani/vulvae, appendicitis, family treatment)",9,Parasitic GI Diseases,134,first-half,137,Enterobius – Pathogenesis and symptoms,"1) Irritation, itching and scratching of the peri-anal skin (pruritis ani) ... 7) Migration to the peritoneal cavity (through uterine tubes) will cause pelvic peritonitis.",None — already in book,"Duplicate in Ch9 p.134 (Ch16 does not discuss pruritus ani causes, but fact is already in book)",confirmed
PA-24,exclude,,,45,Eggs are rarely found in stool (about 5 % only) ... Scotch adhesive tape swab ... white oxide of mercury,verbatim on page,"Enterobius – diagnosis, treatment, prevention",9,Parasitic GI Diseases,135,first-half,138,Enterobius – Diagnosis/Treatment,Eggs are rarely found in stool (about 5 % only). a) N.I.H. swab ... b) Scotch adhesive tape swab ... white oxide of mercury,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-25,exclude,,,46,Portal circulation draining the intestine carries amoebic emboli mainly to the right lobe of the liver ... Diffuse Amoebic Hepatitis,verbatim on page,Hepatic amoebiasis – routes of spread; diffuse amoebic hepatitis,9,Parasitic GI Diseases,136,first-half,139,Extra-intestinal amoebiasis – Pathogenesis,Portal circulation draining the intestine carries amoebic emboli mainly to the right lobe of the liver. ... a.Diffuse Amoebic Hepatitis (p.137),None — already in book,Duplicate in Ch9 pp.136-137; Ch25 p.329 also gives portal route and right-lobe predominance,confirmed
PA-26,exclude,,,46,Amoebic trophozoites are only found in the edge of the lesion ... The commonest site is the posterior part of the right lobe (silent area),verbatim on page,"Amoebic liver abscess – pathology (anchovy-sauce pus, site)",9,Parasitic GI Diseases,137,first-half,140,Amoebic liver abscess – Pathogenesis,Amoebic trophozoites are only found in the edge of the lesion where they multiply. The commonest site is the posterior part of the right lobe (silent area),None — already in book,Duplicate in Ch9 p.137; Ch25 p.329 also has anchovy paste and right-lobe predominance,confirmed
PA-27,exclude,,,47,acute onset of pain in the upper abdomen with high fever ... radiating to the scapular region and right shoulder ... Earthy look ... Tinge of jaundice,verbatim on page,Amoebic liver abscess – clinical picture and DD,9,Parasitic GI Diseases,137,first-half,140,Amoebic liver abscess – Clinical picture,"There is usually an acute onset of pain in the upper abdomen with high fever. Th pain is intense and constant, radiating to the scapular region and right shoulder",None — already in book,"Duplicate in Ch9 p.137 (note: Ch25 p.330 describes pain as 'constant and dull aching' — wording differs, not flagged as a factual contradiction)",confirmed
PA-28,exclude,,,47,IHAT and ELISA ... cannot be used to assess cure because antibodies persist ... Stool examination: may be positive in only one third of cases ... copro-antigen,verbatim on page,"Amoebic liver abscess – serology, aspiration, stool, imaging",9,Parasitic GI Diseases,138,first-half,141,Amoebic liver abscess – Diagnosis,The indirect haemagglutination test (IHAT) and ELISA ... cannot be used to assess cure ... ii. Stool examination: may be positive in only one third of cases.,None — already in book,"Duplicate in Ch9 p.138 (Ch25 p.331 calls stool testing 'Non-specific' — compatible, not contradictory)",confirmed
PA-29,discrepancy,A25-D1,A · after mid-module,47,d. Complete blood count (CBC) shows polymorphonuclearleucocytosis in Amoebic Liver Abscess (differentiated from viral hepatitis).,verbatim on page,Amoebic liver abscess – CBC finding,25,Pyogenic Liver Abscess,331,second-half,135,Amebic liver abscess – Investigations – C-Lab,"Ch25 p.331: ""CBC: Leukocytosis and esinophilia"" (vs Ch9 p.138, which matches GIT others: ""Complete blood count (CBC) shows polymorphonuclearleucocytosis in Amoebic Liver Abscess"")",Flag only: GIT others p.47 says CBC shows polymorphonuclear leucocytosis; Ch25 p.331 says leukocytosis and eosinophilia. Students should check with the teacher which is intended.,GIT others p.47 (and book Ch9 p.138) = polymorphonuclear leucocytosis; book Ch25 p.331 = leukocytosis and eosinophilia. Conflicting white-cell picture; not resolved here,confirmed
PA-30,exclude,,,47,1. Personal hygiene 2. Washing of fresh-eaten vegetables and fruits ... 5. Treatment of patients and examination of contacts.,verbatim on page,Amoebiasis – prevention and control,9,Parasitic GI Diseases,138,first-half,141,Amoebic liver abscess – Prevention and control,1. personal hygiene 2. Washing of fresh-eaten vegetables and fruits. ... 5. Treatment of patients and examination of contacts,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
